stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code,level_id,mta_stop_id,regional_fare_card,tts_stop_name
4015,Pakalniai,54.848978,25.600780,,,4015,"https://www.visimarsrutai.lt/#/stop/result?stopId=4015",,,,,,,,,,
4025,Raistelis,54.930041,25.485366,,,4025,"https://www.visimarsrutai.lt/#/stop/result?stopId=4025",,,,,,,,,,
4026,Gudoniškės,54.924157,25.364925,,,4026,"https://www.visimarsrutai.lt/#/stop/result?stopId=4026",,,,,,,,,,
4035,Narbutiškės,54.814966,25.694034,,,4035,"https://www.visimarsrutai.lt/#/stop/result?stopId=4035",,,,,,,,,,
4046,Pilviškės,54.827600,25.702155,,,4046,"https://www.visimarsrutai.lt/#/stop/result?stopId=4046",,,,,,,,,,
4048,Markiškės,54.736843,25.670407,,,4048,"https://www.visimarsrutai.lt/#/stop/result?stopId=4048",,,,,,,,,,
4057,Skirlėnai,54.970989,25.618802,,,4057,"https://www.visimarsrutai.lt/#/stop/result?stopId=4057",,,,,,,,,,
4058,Totorių,54.569083,25.188716,,,4058,"https://www.visimarsrutai.lt/#/stop/result?stopId=4058",,,,,,,,,,
4060,Pakryžė,54.908767,25.480449,,,4060,"https://www.visimarsrutai.lt/#/stop/result?stopId=4060",,,,,,,,,,
4069,Mostiškės,54.771395,25.667093,,,4069,"https://www.visimarsrutai.lt/#/stop/result?stopId=4069",,,,,,,,,,
4071,"1-ieji Leičiai",54.751288,25.081504,,,4071,"https://www.visimarsrutai.lt/#/stop/result?stopId=4071",,,,,,,,,,
4082,Užuprūdžiai,54.563956,25.506130,,,4082,"https://www.visimarsrutai.lt/#/stop/result?stopId=4082",,,,,,,,,,
4092,Vyžiškės,54.761045,25.668053,,,4092,"https://www.visimarsrutai.lt/#/stop/result?stopId=4092",,,,,,,,,,
4093,Daukšiai,54.982127,25.597016,,,4093,"https://www.visimarsrutai.lt/#/stop/result?stopId=4093",,,,,,,,,,
4139,"Smalos gamykla",54.719708,25.656632,,,4139,"https://www.visimarsrutai.lt/#/stop/result?stopId=4139",,,,,,,,,,
4150,Izabelinė,54.797293,25.131425,,,4150,"https://www.visimarsrutai.lt/#/stop/result?stopId=4150",,,,,,,,,,
4151,Ponasai,54.964245,25.498706,,,4151,"https://www.visimarsrutai.lt/#/stop/result?stopId=4151",,,,,,,,,,
4162,"2-ieji Dusinėnai",54.559242,25.279008,,,4162,"https://www.visimarsrutai.lt/#/stop/result?stopId=4162",,,,,,,,,,
4731,Adomaičiai,54.670798,25.626652,,,4731,"https://www.visimarsrutai.lt/#/stop/result?stopId=4731",,,,,,,,,,
4732,Pakalniai,54.848515,25.599601,,,4732,"https://www.visimarsrutai.lt/#/stop/result?stopId=4732",,,,,,,,,,
4736,Pasvirė,54.599728,25.565587,,,4736,"https://www.visimarsrutai.lt/#/stop/result?stopId=4736",,,,,,,,,,
